stop_transit_point_key,stopName,stop_latitude,stop_longitude
10460,NB 203 ST AT 118 AV,49.21696,"-122.65845"
10461,EB E 33 AV AT SOMERVILLE ST,49.2402,"-123.08534"
10462,COQUITLAM CENTRAL STN UNLOAD ONLY,49.27498,"-122.79924"
10463,EB E 33 AV AT KNIGHT ST,49.24014,"-123.07595"
10464,EB E 33 AV AT ARGYLE ST,49.24006,"-123.07084"
10465,HANEY PLACE BAY 5,49.21951,"-122.59655"
10466,EB E 33 AV AT NANAIMO ST,49.23971,"-123.0583"
10467,EB E 33 AV AT VICTORIA DR,49.23982,"-123.06483"
10468,EB W 16 AV AT TRAFALGAR ST,49.25742,"-123.16451"
1047,SB RENFREW ST AT WILLIAM ST,49.27388,"-123.04428"
10470,EB 60 AV AT 192 ST,49.11123,"-122.69019"
10472,FLAGSTOP SB ENDSWELL FARM,49.40167,"-123.36557"
10473,SB GRANVILLE ST AT ROBSON ST,49.28164,"-123.11953"
10475,WB E 33 AV AT ARGYLE ST,49.2402,"-123.0718"
10476,SB EAST RD AT WYNDHAM CRES,49.31024,"-122.8439"
10477,FLAGSTOP NB MILLER RD AT DEEP BAY,49.38631,"-123.33746"
10478,WB E 33 AV AT KNIGHT ST,49.24026,"-123.07691"
10479,SB EAST RD AT STRONG RD,49.30636,"-122.84044"
